,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,4,police,police
2,2,5,pensais,thought
3,3,6,aide,help
4,4,7,demande,request
5,5,8,genre,kind
6,6,9,mois,month
7,7,10,frère,brother
8,8,11,laisser,let
9,9,12,car,because
10,10,13,mettre,to put
11,11,14,aucun,no
12,12,15,laisse,leash
13,13,16,eux,them
14,14,17,ville,city
15,15,18,chaque,each
16,16,20,arrivé,come
17,17,21,devrait,should
18,18,22,bébé,baby
19,19,23,longtemps,long time
20,20,24,heures,hours
21,21,25,vont,will
22,22,26,pendant,while
23,23,27,revoir,meet again
24,24,28,aucune,any
25,25,30,parle,speak
26,26,31,compris,understood
27,27,32,savais,knew
28,28,33,étaient,were
29,29,34,attention,Warning
30,30,36,pourrais,could
31,31,37,affaire,case
32,32,38,donner,give
33,33,39,type,type
34,34,40,leurs,their
35,35,41,donné,given
36,36,43,corps,body
37,37,44,endroit,place
38,38,45,yeux,eyes
39,39,46,façon,way
40,40,47,dont,whose
41,41,48,trouve,find
42,42,49,premier,first
43,43,50,perdu,lost
44,44,51,main,hand
45,45,52,première,first
46,46,53,côté,side
47,47,54,pouvoir,power
48,48,55,vieux,old
49,49,56,sois,be
50,50,58,matin,morning
51,51,59,tellement,so much
52,52,60,enfant,child
53,53,61,point,point
54,54,62,venu,came
55,55,63,suite,after
56,56,66,devant,in front of
57,57,67,vers,towards
58,58,68,minutes,minutes
59,59,69,demandé,request
60,60,70,chambre,bedroom
61,61,71,mis,placed
62,62,72,belle,beautiful
63,63,73,droit,law
64,64,76,mari,husband
65,65,77,cause,cause
66,66,78,enfin,finally
67,67,79,espère,hope
68,68,80,eau,water
69,69,82,parti,left
70,70,83,nouvelle,new
71,71,85,arrêter,Stop
72,72,86,dirait,would say
73,73,88,compte,account
74,74,89,donne,given
75,75,90,loin,far
76,76,91,fin,end
77,77,92,croire,believe
78,78,93,chérie,sweetheart
79,79,94,gros,large
80,81,96,aura,will have
81,82,97,filles,girls
82,83,98,jouer,to play
83,84,99,bureau,office
